,author_id,created_at
0,1539607369558245377,2022-06-22 13:52:56+00:00
1,1484256734160039938,2022-01-20 20:09:16+00:00
2,1473711575437557762,2021-12-22 17:46:34+00:00
3,1469678684806148100,2021-12-11 14:41:18+00:00
4,1460668944855883779,2021-11-16 17:59:49+00:00
5,1455235646654750728,2021-11-01 18:09:49+00:00
6,1441064115766583296,2021-09-23 15:37:13+00:00
7,1441064397988765697,2021-09-23 15:38:20+00:00
8,1441071431794712581,2021-09-23 16:06:17+00:00
9,1441067850446344197,2021-09-23 15:52:03+00:00
10,1441075935193616386,2021-09-23 16:24:11+00:00
11,1441055856414449674,2021-09-23 15:04:24+00:00
12,1428080516583002115,2021-08-18 19:45:02+00:00
13,1397585609770758149,2021-05-26 16:09:09+00:00
14,1397230615498563584,2021-05-25 16:38:32+00:00
15,1362449997430542337,2021-02-18 17:12:47+00:00
16,1371363774729363460,2021-03-15 07:32:57+00:00
17,1365416026435854338,2021-02-26 21:38:43+00:00
18,1296487407475462144,2020-08-20 16:41:00+00:00
19,1294346980072624128,2020-08-14 18:55:42+00:00
20,1283153843367206912,2020-07-14 21:38:10+00:00
21,1261310597867679744,2020-05-15 15:00:55+00:00
22,1234903157580296192,2020-03-03 18:07:10+00:00
23,1232731433145421825,2020-02-26 18:17:31+00:00
24,1202276259432034304,2019-12-04 17:19:32+00:00
25,1228392322863333377,2020-02-14 18:55:26+00:00
26,1226547338765852672,2020-02-09 16:44:08+00:00
27,1225458878277705728,2020-02-06 16:38:59+00:00
28,1198975937552904199,2019-11-25 14:45:14+00:00
29,1197913828639428610,2019-11-22 16:24:47+00:00
30,1197580330930098177,2019-11-21 18:19:35+00:00
31,1197553846307831808,2019-11-21 16:34:21+00:00
32,1193581444024557569,2019-11-10 17:29:26+00:00
33,1136050943387164672,2019-06-04 23:23:46+00:00
34,1136040455236411394,2019-06-04 22:42:05+00:00
35,1136039512927346688,2019-06-04 22:38:21+00:00
36,1128358768146829313,2019-05-14 17:57:48+00:00
37,1128358903345860608,2019-05-14 17:58:21+00:00
38,1128358947772145672,2019-05-14 17:58:31+00:00
39,1128359174197223424,2019-05-14 17:59:25+00:00
40,1128359329055350786,2019-05-14 18:00:02+00:00
41,1128359663542497280,2019-05-14 18:01:22+00:00
42,1128359944548507650,2019-05-14 18:02:29+00:00
43,1128361039144243200,2019-05-14 18:06:50+00:00
44,1128363045653176320,2019-05-14 18:14:48+00:00
45,1128365833858633728,2019-05-14 18:25:53+00:00
46,1128368916319727617,2019-05-14 18:38:08+00:00
47,1128381256025042944,2019-05-14 19:27:10+00:00
48,1128397787366735872,2019-05-14 20:32:51+00:00
49,1128408788258529281,2019-05-14 21:16:34+00:00
50,1128410337504571394,2019-05-14 21:22:43+00:00
51,1124369013381976065,2019-05-03 17:43:57+00:00
52,1124370307593265154,2019-05-03 17:49:05+00:00
53,1123561099150995456,2019-05-01 12:13:35+00:00
54,1123197938472312834,2019-04-30 12:10:31+00:00
55,1123294980624343040,2019-04-30 18:36:07+00:00
56,1121486712847265792,2019-04-25 18:50:43+00:00
57,1104039322963992576,2019-03-08 15:21:01+00:00
58,1093592837537624068,2019-02-07 19:30:25+00:00
59,1093592726879305728,2019-02-07 19:29:58+00:00
60,1054875334083051520,2018-10-23 23:20:52+00:00
61,1054877742922121216,2018-10-23 23:30:27+00:00
62,1021804481346859008,2018-07-24 17:09:07+00:00
63,982122328124342272,2018-04-06 05:06:24+00:00
64,982123177210871809,2018-04-06 05:09:47+00:00
65,975669372441317377,2018-03-19 09:44:40+00:00
66,973685820879073280,2018-03-13 22:22:44+00:00
67,966668165936746496,2018-02-22 13:37:05+00:00
68,964799605119569920,2018-02-17 09:52:05+00:00
69,964800613161713664,2018-02-17 09:56:05+00:00
70,964800834558099456,2018-02-17 09:56:58+00:00
71,964807170142494720,2018-02-17 10:22:09+00:00
72,959478116069474304,2018-02-02 17:26:23+00:00
73,954355906178764800,2018-01-19 14:12:33+00:00
74,954356713729110016,2018-01-19 14:15:46+00:00
75,941336239206207493,2017-12-14 15:57:03+00:00
76,941338981639258112,2017-12-14 16:07:57+00:00
77,938243855081652224,2017-12-06 03:09:01+00:00
78,937798009290604544,2017-12-04 21:37:23+00:00
79,772676697456082944,2016-09-05 06:04:14+00:00
80,878571371558612993,2017-06-24 11:11:52+00:00
81,925406334480035840,2017-10-31 16:57:18+00:00
82,930570651638808576,2017-11-14 22:58:27+00:00
83,930553704352178176,2017-11-14 21:51:06+00:00
84,930498975202910208,2017-11-14 18:13:38+00:00
85,930470082739703809,2017-11-14 16:18:49+00:00
86,930483874005581824,2017-11-14 17:13:37+00:00
87,930487252773371904,2017-11-14 17:27:03+00:00
88,930480111622729729,2017-11-14 16:58:40+00:00
89,930468686430957568,2017-11-14 16:13:16+00:00
90,930467230076174336,2017-11-14 16:07:29+00:00
91,930472124686487552,2017-11-14 16:26:56+00:00
92,930469159464570880,2017-11-14 16:15:09+00:00
93,930467060374650880,2017-11-14 16:06:49+00:00
94,927986501153185793,2017-11-07 19:49:57+00:00
95,927201121285824513,2017-11-05 15:49:08+00:00
96,926476206794350593,2017-11-03 15:48:35+00:00
97,925378101005115397,2017-10-31 15:05:06+00:00
