id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1545405626142302208,1545405626142302208,2022-07-08 20:53:08 WIB,2022-07-08,20:53:08,+0700,1210470112295178240,yh80867,bbangSora,,"Please makanan indo itu buanyak bgt,jangan rekomen nasgor ,migor, ganti kek kaya pempek ,rica rica,sate lilit ,gado gado please suruh lihat gofood bnyk bgt.",in,[],[],[],0,0,0,[],[],https://twitter.com/yh80867/status/1545405626142302208,False,https://twitter.com/palcheokkitty/status/1545402108022730752,0,,,,,,,,[],,,,
1545405229578854400,1545405229578854400,2022-07-08 20:51:33 WIB,2022-07-08,20:51:33,+0700,1415487778666651650,unbellee_,Belle,,wts voucher  voc gofood minbel 25k disc 30% maks 30k  ✔️saldo cuma 40k ✔️slot g+ cuma 3  ✔️fee 7k/voc  #zonauang #zonajajan,in,[],[],[],1,0,0,"['zonauang', 'zonajajan']",[],https://twitter.com/unbellee_/status/1545405229578854400,False,https://twitter.com/unbellee_/status/1543889696152989696,0,,,,,,,,[],,,,
1545405227545014277,1545405227545014277,2022-07-08 20:51:33 WIB,2022-07-08,20:51:33,+0700,1473227970315653120,kyeomkyeom_yu,uyu🥛Jastip Paket Jkt,,WTS voucher goride go ride gofood go food Fee 1k #zonauang️ #zonajajan  https://t.co/BrVd1jNuFw,en,[],[],['https://pbs.twimg.com/media/FXJh3IFaUAYcwwq.jpg'],1,0,0,"['zonauang️', 'zonajajan']",[],https://twitter.com/kyeomkyeom_yu/status/1545405227545014277,False,,1,https://pbs.twimg.com/media/FXJh3IFaUAYcwwq.jpg,,,,,,,[],,,,
1545405118589284352,1545400305671864320,2022-07-08 20:51:07 WIB,2022-07-08,20:51:07,+0700,1468171419620024323,backtothepain11,pain,,"@biliaxa @gojekindonesia Ihh sama asli, mana butuh bgt promo gofood",in,[],[],[],0,0,0,[],[],https://twitter.com/backtothepain11/status/1545405118589284352,False,,0,,,,,,,,"[{'screen_name': 'biliaxa', 'name': '❥', 'id': '1265124480201834496'}, {'screen_name': 'gojekindonesia', 'name': 'Gojek Indonesia', 'id': '226481275'}]",,,,
1545405078185689089,1545405078185689089,2022-07-08 20:50:57 WIB,2022-07-08,20:50:57,+0700,1251386733142237184,suteki_hakken,あみま＠サブカル好き,,オミクロンで検査難民が増えたりまん防(まんぼう)あったり、緊急事態も？  で、巣ごもりで運動不足だよ💦  なのに外食で糖質に脂質の摂りすぎ問題で、生活習慣病も気になる😨  食事の糖質制限で少しは抑えないと…‼  GOFOOD 糖質9.7g以下 低糖質 弁当 10食 ダイエット  https://t.co/ahJhD5aq0r,ja,[],['https://amzn.to/3IeysAr'],[],0,0,0,[],[],https://twitter.com/suteki_hakken/status/1545405078185689089,False,,0,,,,,,,,[],,,,
1545405057403092992,1545367204455419905,2022-07-08 20:50:52 WIB,2022-07-08,20:50:52,+0700,452676538,wirightt,wira,,@awdristy tinggal gofood kak,tl,[],[],[],1,0,0,[],[],https://twitter.com/wirightt/status/1545405057403092992,False,,0,,,,,,,,"[{'screen_name': 'awdristy', 'name': 'adis', 'id': '1192287158'}]",,,,
1545404652933431296,1545403481594273793,2022-07-08 20:49:16 WIB,2022-07-08,20:49:16,+0700,155163003,drhcshnn,Ꮚ,,kalo gofood ya minimal ayam gepuk pak gembus lah apa gak yang manis-manis ada roti bakar eddy. kalo minum yang anget boleh wedang ronde kalo dingin kata gw mah es kopyor,in,[],[],[],1,0,0,[],[],https://twitter.com/drhcshnn/status/1545404652933431296,False,,0,,,,,,,,[],,,,
1545404323425058817,1545404018880815104,2022-07-08 20:47:57 WIB,2022-07-08,20:47:57,+0700,199111806,mondeevity96_,:): Call me Dee! 📌 SKZ X FURYU SHARING,,@jeeloeise Gofood kak ke chateraise kemaren enak bgt pusingnya!,in,[],[],[],0,0,0,[],[],https://twitter.com/mondeevity96_/status/1545404323425058817,False,,0,,,,,,,,"[{'screen_name': 'jeeloeise', 'name': 'Jennifer L \uea00', 'id': '1128670548'}]",,,,
1545404302306725888,1545404302306725888,2022-07-08 20:47:52 WIB,2022-07-08,20:47:52,+0700,444046786,bombomkum,Panji Tri Nugroho,,"@gojekindonesia halo apakah akun gojek saya kena softban? akun saya sudah tidak pernah dapat voucher gofood dan gak bisa masukin kode promo lagi. tolong dibantu cek ya, biar saya bisa nyaman pakai gojek lagi. terima kasih sudah 2 bulan lebih",in,[],[],[],1,0,0,[],[],https://twitter.com/Bombomkum/status/1545404302306725888,False,,0,,,,,,,,[],,,,
1545404299253284865,1545404299253284865,2022-07-08 20:47:51 WIB,2022-07-08,20:47:51,+0700,1480822568718241799,bbbyyzzz,bby z,,Wtb voc gofood 30% need fastt,nl,[],[],[],1,0,0,[],[],https://twitter.com/bbbyyzzz/status/1545404299253284865,False,,0,,,,,,,,[],,,,
1545403823648538624,1545403823648538624,2022-07-08 20:45:58 WIB,2022-07-08,20:45:58,+0700,196503132,sarahmeilindaa,mey,,Tiap beli mcd selalu dapet totebagnya jd banyak bgt bingung kalau order gofood biar gadikasih lagi gmn soalnya udh kebanyakan dan ga dipake” juga☹️,in,[],[],[],0,0,0,[],[],https://twitter.com/sarahmeilindaa/status/1545403823648538624,False,,0,,,,,,,,[],,,,
1545403751434952707,1545294121853648897,2022-07-08 20:45:41 WIB,2022-07-08,20:45:41,+0700,1526566195134070787,hereforjimin13,Jimin 🐾,,@gofoodindonesia My all time favourite hot trendy song is #WithYou by #JIMIN #BTSJIMIN of #BTS  (@BTS_twt) and Sungwoon,en,"[{'screen_name': 'bts_twt', 'name': '방탄소년단', 'id': '335141638'}]",[],[],0,1,2,"['withyou', 'jimin', 'btsjimin', 'bts']",[],https://twitter.com/HereForJimin13/status/1545403751434952707,False,,0,,,,,,,,"[{'screen_name': 'gofoodindonesia', 'name': 'GoFood Indonesia', 'id': '1105408086569672706'}]",,,,
