,author_id,created_at,lang,tweet
65,1302120015269830657,2022-07-07 08:41:33+00:00,in,@convomfs naik motor abang grab/gojek
66,307790713,2022-07-07 08:39:58+00:00,in,"Cakepnya kerudung ni😍😍

Trends: Shopee promo Mega Sale 7.7 arawinda natalie nathalie holscher sule kuliah kampus putdel putri delina #zonauang bu giveaway voucher viral video status sg instagram gojek tudung hijab inner warna spill rekomendasi jilbab niqab https://t.co/4ffIiI6vRG"
67,1104904786246217728,2022-07-07 08:39:37+00:00,in,"@budiawandki @handre_81 @Dennysiregar7 Di pecat jokowi itu kenyataan lho, bukti pemecatan nya ada, pengantinya ada, bahkan klau di tanya jd menteri pendidikan apa hasilnya? Ya gak ada, nadiem jadi menteri 1 tahun hasilnya UN langsung di hapus. Trus kalau bandingin nadiem sama anies, ya jauh, anies bisa bkn gojek gak?"
68,307790713,2022-07-07 08:39:32+00:00,in,"Cakepnya kerudung ni😍😍

Trends: Shopee promo Mega Sale 7.7 arawinda natalie nathalie holscher sule kuliah kampus putdel putri delina #zonauang bu giveaway voucher viral video status sg instagram gojek tudung hijab inner warna spill rekomendasi jilbab niqab https://t.co/rkL1oJzg6k"
69,1436718684353925121,2022-07-07 08:39:05+00:00,in,"@18fesss Kl km was was, kirimin gojek aja nder. Atau kl perlu kasih uang bulanan, jd dia gak perlu kerja. Lumayan kan meminimalisir masalah dia boleh apa gak bonceng ama temen kantor cuma perkara maksi  🙄"
70,1314926253745467393,2022-07-07 08:39:03+00:00,in,@karirfess kalo pp wah setengah gaji kayanya bisa. bisa 130an berangkat doang. mending ngetj atau naik krl baru nyambung gojek kalo emg gda akses angkutan terdekatnya
71,1489652149034176514,2022-07-07 08:38:13+00:00,in,"@sbyfess Gojek, ngegrab kalau gak shopee"
72,1112934161541550080,2022-07-07 08:38:11+00:00,in,"naon ieu euy gojek ges ka 3x na asup orderan gosend nyokot barangna diimah urg,
sedangkan urg teu mesen nanaon:(
karunya gojekna ieu duh ges 3x jeng beda kabeh driverna."
73,1310550568247517184,2022-07-07 08:38:02+00:00,en,"Just received a delivery food from abang gojek who have a black suit on, a tie and a nice shoes.

While me wearing a short pants with hole on the side and  kaos oblong partai demokrat that i got from my dad"
74,2509038529,2022-07-07 08:36:14+00:00,in,tapi gengs rumah gw ke stasiun krl ajaa gojek 25k pp udah gocap belom lg ke tempat2 yg gaada akses tj angkot jaklingko mau gamau ya kudu pake gojek lg:( kalo badan lg fit beneran gw sih rela jalan kaki jauh tp ya ga tiap hari jg bro
75,345104493,2022-07-07 08:35:33+00:00,in,"halo admin @gojekindonesia , apakah akun saya kena soft banned? soalnya udah lama ngga dapet voucher goride/gocar/gofood, terus juga kode promo yg diklaim ga muncul di aplikasi tolong bantuannya ya agar bisa nyaman menggunakan gojek kembali, thx"
76,1481851037795635201,2022-07-07 08:35:04+00:00,in,"LUCU DAPAT DRIVER GOJEK KAI KAI 🥹🥹🥹🥹🥹🥹. ""Aina kah ni, aina aina hahaha"". smngat kerja deh kai berejeki."
77,1176702384443187201,2022-07-07 08:34:06+00:00,en,"wts 2 voc goshop 
fee 2k/ea
t. voucher/voc goshop gojek
#zonauang https://t.co/TYWxWb4XuL"
78,2603632652,2022-07-07 08:33:20+00:00,in,"demi tuhan gua gapernah ambil fee selama bantuin jualan mutual disini. even mau tf in mau gojek in juga gapernah gua terima. dan bukan brrti lu bisa blg 'bantu jualin dong, nanti gua bayar'. fak??????"
79,1496382930545184771,2022-07-07 08:32:46+00:00,in,@xagibranv masa sih emang di gojek gk ada?
80,737114089386741760,2022-07-07 08:31:02+00:00,in,Ini Enaknya Pengguna Gojek Pakai Fitur Penjaminan Tepat Waktu  #Gojek #OjekOnline #GojekIndonesia #FiturTerbaruGojek #FiturPenjaminanTepatWaktu https://t.co/998yoVdkD8 https://t.co/ySLygM4kVO
81,1543667685770153984,2022-07-07 08:30:54+00:00,in,"@karirfess Enggak ganti ke krl atau TJ aja, nder?

Kalau aku seandainya PP pakai Gojek, total sekitar 700rb sendiri."
82,1511317968378302470,2022-07-07 08:30:15+00:00,in,"@ssefnum kalau beli makanan mending gofood pake alamat dia aja, jangan lu beli makanan di jakarta dikirim ke kalimantan pake gojek anjj gue ketawa banget dah kasian mang gojeknya WKWKWKWK"
83,1541697214522982401,2022-07-07 08:30:10+00:00,in,"haii kakk! 👋🏻 lagi cari app premium yang murcee ya? @syqraastore juall nih kak berbagai macam app premium

🖇 Bergaransi
💌 InsyaAllah 10000% aman &amp; trusted 🫶🏻
💳 Gojek, Dana, Spay, Qris
☎️ Dm @syqraastore or wa : https://t.co/mTiUbwvhCO

testi: https://t.co/qrmEmP2VTd https://t.co/7tDQB4zPPW https://t.co/iavxvopCOE"
84,2248751335,2022-07-07 08:30:00+00:00,in,Rek -uner maaf sebelumnya oot yang udh selesai pdb ada yang bisa dimintain tolong engga? aku mau nebeng pulang ke kampus b atau kalo punya promo gojek minta tolong pesenin soalnya ban motorku sobek:( makasihh
85,1541697214522982401,2022-07-07 08:29:20+00:00,in,"haii kakk! 👋🏻 lagi cari app premium yang murcee ya? @syqraastore juall nih kak berbagai macam app premium

🖇 Bergaransi
💌 InsyaAllah 10000% aman &amp; trusted 🫶🏻
💳 Gojek, Dana, Spay, Qris
☎️ Dm @syqraastore or wa : https://t.co/mTiUbwvhCO

testi: https://t.co/qrmEmP2VTd https://t.co/xB6HP24YFd https://t.co/1Cj2QvEMFB"
86,1314062514389303297,2022-07-07 08:28:30+00:00,in,@ssefnum LAHHH ANJNG JANGAN NYUSAHIN GOJEK DEH LU BLOON
87,1157301901181906947,2022-07-07 08:28:05+00:00,in,Tolong infoin resto lain yg diskon gofood bisa sampe -72k #gofood #vouchergojek t. Gojek voucher vocer voc #zonauang https://t.co/sWyb0uFOKU
88,1302411124537610241,2022-07-07 08:27:13+00:00,in,widihh naik gojek aerox gweh guyss😎😎😎
89,1585826712,2022-07-07 08:27:09+00:00,in,@tanyakanrl sama.. keknya dulu bang gojek bosen bawain orderan ayam mulu😌👌🏻
90,1286681707962195968,2022-07-07 08:25:48+00:00,in,Ok banh ak mau bli jaket gojek byar kyut https://t.co/36Ikpz1KyI
91,1323238504894095363,2022-07-07 08:25:41+00:00,in,@convomf Mending naik gojek nder kalo aku :)
92,817254013,2022-07-07 08:25:38+00:00,in,@ncitybase_ nah ini! gue ampe kepikiran ini jisung pesen lewat gojek apa ya
93,1391028881054830593,2022-07-07 08:25:23+00:00,in,"@unnesmenfess Aku ada voucher 5rb nder di gojek, mau kah daripada ga kepake"
94,1403681131556265990,2022-07-07 08:22:31+00:00,in,@urrshiilaa akang gojek
95,1314840619378896896,2022-07-07 08:22:26+00:00,in,"kr! buat yang gapunya kendaraan pribadi dan biasanya make gojek, kalo kerja PP sebulan abis berapa?"
96,752480219865296897,2022-07-07 08:20:03+00:00,in,"wts voucher gojek

- voc goride all dom potongan 6k
- voc gocar all dom potongan 11k

✅ boleh check dulu
✅ bisa booking
✅ payment gopay
❎ ga bisa in rush karena nyari manual di maps

#zonauang #zonajajan #zonaba #zonabu https://t.co/03WLjkCFlQ"
97,529186497,2022-07-07 08:19:32+00:00,in,"Dukung Pemasaran UMKM, Gojek Luncurkan GoSend Sameday di Bali https://t.co/4ym7tGG1Hh https://t.co/dAp7XWU45H"
98,1495238679903694848,2022-07-07 08:18:57+00:00,in,@arawnzzn Jangan pake gojek pake grab aja ongkir lebih murceh
99,307790713,2022-07-07 08:17:37+00:00,in,"@gataubilangapa @pandulistyaa @detikcom Hikssss T_T 

Maaf, tlg titip ya. Billa Outer+Hijab ala Vivi Habsyi https://t.co/OLRFPhEh38 Outer menyambung dgn hijab, simple, gercep, cocok buat hadiah😍 Mega Sale Shopee 7.7

Trends sule arawinda amanda nathalie putri delina feby yuni putdel natalie cerai giveaway promo gojek https://t.co/uYDtkdWIVq"
